dataset_id,term,dataset,model,rmse,domain,num_variates
ds-1677-H,long,ds-1677-H/Medium/long,tft,1.520108488795564,['Database'],100
ds-1679-D,short,ds-1679-D/Long/short,persistence,0.5010241144137726,['Database'],54
ds-1679-D,short,ds-1679-D/Long/short,seasonalnaive,0.5010241157557845,['Database'],54
ds-1679-D,short,ds-1679-D/Long/short,lstm,0.8052451284655116,['Database'],54
ds-1679-D,short,ds-1679-D/Long/short,tft,1.0229675450663458,['Database'],54
ds-1671-D,short,ds-1671-D/Long/short,persistence,0.9936461725146788,['Database'],1
ds-1671-D,short,ds-1671-D/Long/short,seasonalnaive,0.99364614523814,['Database'],1
ds-1671-D,short,ds-1671-D/Long/short,lstm,1.1704647547474976,['Database'],1
ds-1671-D,short,ds-1671-D/Long/short,tft,0.8866248172071602,['Database'],1
ds-1674-D,short,ds-1674-D/Long/short,persistence,1.9057734667247093,['Database'],2
ds-1674-D,short,ds-1674-D/Long/short,seasonalnaive,1.9057734659875265,['Database'],2
ds-1674-D,short,ds-1674-D/Long/short,lstm,2.870240182784097,['Database'],2
ds-1674-D,short,ds-1674-D/Long/short,tft,1.6775103228839343,['Database'],2
